Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
441,"J Borenstein, I Ulrich","The guidecane-a computerized travel aid for the active guidance of blind pedestrians",1997,"Proceedings of International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/614314/","https://scholar.google.com/scholar?cites=8138443853572899914&as_sdt=2005&sciodt=2007&hl=en",11,"2024-09-18 20:22:10","","","","",,,,,441,16.33,221,2,27,"… help blind or visually impaired travelers to navigate safely and quickly among obstacles and other hazards faced by blind … robot with obstacle avoidance can be used as a guide for the …","https://www.valentiniweb.com/Piermo/robotica/doc/borenstein/paper65.pdf","https://scholar.google.com/scholar?q=related:SoSsxJCP8XAJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
197,"B Li, JP Munoz, X Rong, Q Chen, J Xiao…","Vision-based mobile indoor assistive navigation aid for blind people",2018,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8370712/","https://scholar.google.com/scholar?cites=7579751730125325591&as_sdt=2005&sciodt=2007&hl=en",12,"2024-09-18 20:22:10","","","","",,,,,197,32.83,33,6,6,"… system to help blind and visually impaired people with … to assist blind individuals with independent indoor travel. ISANA … state-of-the-art computer vision techniques and citizen science. …","https://ieeexplore.ieee.org/ielaam/7755/8635381/8370712-aam.pdf","https://scholar.google.com/scholar?q=related:F8XFDwqwMGkJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
171,"S Shoval, J Borenstein, Y Koren","Mobile robot obstacle avoidance in a computerized travel aid for the blind",1994,"Proceedings of the 1994 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/351166/","https://scholar.google.com/scholar?cites=5150860827720383475&as_sdt=2005&sciodt=2007&hl=en",13,"2024-09-18 20:22:10","","","","",,,,,171,5.70,57,3,30,"… robot obstacle avoidance system as a guidance device for blind and visually impaired … to a mobile robot's motor controllers, auditory signals can guide the blind traveler around obstacles…","https://www.academia.edu/download/74567901/Mobile_robot_obstacle_avoidance_in_a_com20211112-7540-2z10fu.pdf","https://scholar.google.com/scholar?q=related:83u_46GIe0cJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
7,"K Thiyagarajan, S Kodagoda, M Luu…","Intelligent guide robots for people who are blind or have low vision: A review",2022,"Vision Rehabilitation …","sciendo.com","https://sciendo.com/article/10.2478/vri-2022-0003","https://scholar.google.com/scholar?cites=10297629629722886584&as_sdt=2005&sciodt=2007&hl=en",14,"2024-09-18 20:22:10","HTML","10.2478/vri-2022-0003","","",,,,,7,3.50,2,4,2,"… robot guide to provide consistent mobility and navigation support for people who are blind or have low vision, similar to that offered by Guide … for visually impaired navigation system …","https://sciendo.com/article/10.2478/vri-2022-0003","https://scholar.google.com/scholar?q=related:uIErzJaH6I4J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
103,"S Khan, S Nazir, HU Khan","Analysis of navigation assistants for blind and visually impaired people: A systematic review",2021,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9328100/","https://scholar.google.com/scholar?cites=4020650324198542081&as_sdt=2005&sciodt=2007&hl=en",15,"2024-09-18 20:22:10","","","","",,,,,103,34.33,34,3,3,"… software system to assist visually impaired people by creating … people which can guide and help them to easily move. The … Lee [37] presented a guided dog robot for visually impaired …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09328100.pdf","https://scholar.google.com/scholar?q=related:Acvp4yo4zDcJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
26,"CL Lu, ZY Liu, JT Huang, CI Huang…","Assistive navigation using deep reinforcement learning guiding robot with UWB/voice beacons and semantic feedbacks for blind and visually impaired people",2021,"Frontiers in Robotics …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/frobt.2021.654132/full","https://scholar.google.com/scholar?cites=124776227403041737&as_sdt=2005&sciodt=2007&hl=en",16,"2024-09-18 20:22:10","HTML","10.3389/frobt.2021.654132","","",,,,,26,8.67,5,5,3,"… assistance provided by a white cane and guide dog with high reliability. The physical interface was constructed using a rigid handle equipped on the proposed guiding …","https://www.frontiersin.org/articles/10.3389/frobt.2021.654132/full","https://scholar.google.com/scholar?q=related:yYvFVlFLuwEJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
12,"J Wang, E Liu, Y Geng, X Qu…","A survey of 17 indoor travel assistance systems for blind and visually impaired people",2021,"… on Human-Machine …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9611011/","https://scholar.google.com/scholar?cites=5801790452207859820&as_sdt=2005&sciodt=2007&hl=en",17,"2024-09-18 20:22:10","","","","",,,,,12,4.00,2,5,3,"… [41] use a cell phone camera to identify floor tile lines to guide blind people, but this method … the ground for guidance, which can effectively help the visually impaired travel but requires …","","https://scholar.google.com/scholar?q=related:bDgaVa0ZhFAJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
19,"N Tyagi, D Sharma, J Singh, B Sharma…","Assistive navigation system for visually impaired and blind people: a review",2021,"… and Machine Vision …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9670951/","https://scholar.google.com/scholar?cites=12787504589389248413&as_sdt=2005&sciodt=2007&hl=en",18,"2024-09-18 20:22:10","","","","",,,,,19,6.33,4,5,3,"… used the guidance of dogs … navigation for blind or visually impaired people have been discussed in this paper. GPS included in assistive devices has proven to be efficient for navigation …","","https://scholar.google.com/scholar?q=related:nTc5RqxXdrEJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
26,"H Mori, S Kotani","A Robotic Travel Aid for the Blind: Attention and Custom for Safe Behavior",1998,"Robotics Research: The Eighth International …","Springer","https://link.springer.com/chapter/10.1007/978-1-4471-1580-9_22","https://scholar.google.com/scholar?cites=8726906951193096128&as_sdt=2005&sciodt=2007&hl=en",19,"2024-09-18 20:22:10","","10.1007/978-1-4471-1580-9_22","","",,,,,26,1.00,13,2,26,"… Among 307,000 visually impaired in Japan 65,000 are the complete blind. Most of them lost … We consider that the robot follows the same traffic regulation as the guide dog. RTRl: The …","","https://scholar.google.com/scholar?q=related:wG_AjaIzHHkJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
32,"X Zhang, H Zhang, L Zhang, Y Zhu, F Hu","Double-diamond model-based orientation guidance in wearable human–machine navigation systems for blind and visually impaired people",2019,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/19/21/4670","https://scholar.google.com/scholar?cites=3417907621535253513&as_sdt=2005&sciodt=2007&hl=en",20,"2024-09-18 20:22:10","HTML","","","",,,,,32,6.40,6,5,5,"… This paper presents the analysis and design of a new, wearable orientation guidance device in modern travel aid systems for blind and visually impaired people. The four-stage double-…","https://www.mdpi.com/1424-8220/19/21/4670","https://scholar.google.com/scholar?q=related:CYS1eN_Ybi8J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
67,"M Mukhiddinov, J Cho","Smart glass system using deep learning for the blind and visually impaired",2021,"Electronics","mdpi.com","https://www.mdpi.com/2079-9292/10/22/2756","https://scholar.google.com/scholar?cites=13735555512204552086&as_sdt=2005&sciodt=2007&hl=en",21,"2024-09-18 20:22:10","HTML","","","",,,,,67,22.33,34,2,3,"… visually impaired navigate with audio guidance; (3) salient object detection and tactile graphics generation using a two-level nested U-structure network [37] and results of our previous …","https://www.mdpi.com/2079-9292/10/22/2756","https://scholar.google.com/scholar?q=related:lmec2fZ-nr4J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
190,"S Real, A Araujo","Navigation systems for the blind and visually impaired: Past work, challenges, and open problems",2019,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/19/15/3404","https://scholar.google.com/scholar?cites=16105479299380822504&as_sdt=2005&sciodt=2007&hl=en",22,"2024-09-18 20:22:10","HTML","","","",,,,,190,38.00,95,2,5,"… , to recent systems based on artificial vision. Thereafter, user-… Guidance and Navigation Systems for the Visually Impaired … of guidance and navigation systems for the visually impaired …","https://www.mdpi.com/1424-8220/19/15/3404","https://scholar.google.com/scholar?q=related:6EEAoRcogt8J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
221,"S Shoval, I Ulrich, J Borenstein","NavBelt and the Guide-Cane [obstacle-avoidance systems for the blind and visually impaired]",2003,"IEEE robotics &automation …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1191706/","https://scholar.google.com/scholar?cites=7046087539036877005&as_sdt=2005&sciodt=2007&hl=en",23,"2024-09-18 20:22:10","","","","",,,,,221,10.52,74,3,21,"… the skills of the user for global navigation (path planning and localization). Combining the skills of a mobile robot with the existing skills of a visually impaired user is the key idea behind …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c278da543aae3b6f1b2d661b723c6bfc26904be7","https://scholar.google.com/scholar?q=related:zXCZ9Ei7yGEJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
43,"RG Praveen, RP Paily","Blind navigation assistance for visually impaired based on local depth hypothesis from a single image",2013,"Procedia Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877705813016214","https://scholar.google.com/scholar?cites=7921583147587241988&as_sdt=2005&sciodt=2007&hl=en",24,"2024-09-18 20:22:10","","","","",,,,,43,3.91,22,2,11,"… on RFID, GPS and computer vision modules are available for blind navigation assistance. In … navigation system. In order to assist the visually impaired along their navigation path, the …","https://www.sciencedirect.com/science/article/pii/S1877705813016214/pdf?md5=2870f11c12d53bc54119f81ff78d79f1&pid=1-s2.0-S1877705813016214-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:BIioAucd720J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
64,"R Tapu, B Mocanu, T Zaharia","A computer vision system that ensure the autonomous navigation of blind people",2013,"2013 E-Health and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6707267/","https://scholar.google.com/scholar?cites=873032319970522350&as_sdt=2005&sciodt=2007&hl=en",25,"2024-09-18 20:22:10","","","","",,,,,64,5.82,21,3,11,"… localization and navigation of visually impaired/blind people. … location and spatial orientation of the user. In [8] a stereo … to assist the autonomous navigation of partially impaired users. …","","https://scholar.google.com/scholar?q=related:7jRH_USiHQwJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
71,"S Shoval, I Ulrich, J Borenstein","Robotics-based obstacle-avoidance systems for the blind and visually impaired",2003,"IEEE Robotics Magazine","researchgate.net","https://www.researchgate.net/profile/Shraga-Shoval/publication/2854750_Invited_article_for_the_IEEE_Robotics_and_Automation_Magazine_Special_Issue_on_Robotics_in_Bio-Engineering_Last_revised_August_27_2000/links/5d7deff1299bf1d5a97f1f48/Invited-article-for-the-IEEE-Robotics-and-Automation-Magazine-Special-Issue-on-Robotics-in-Bio-Engineering-Last-revised-August-27-2000.pdf","https://scholar.google.com/scholar?cites=16239631760069693591&as_sdt=2005&sciodt=2007&hl=en",26,"2024-09-18 20:22:10","PDF","","","",,,,,71,3.38,24,3,21,"… This article presents two novel travel aids for blind … % of the visually impaired people in the US have guide dogs. … of a mobile robot with the existing skills of a visually impaired …","https://www.researchgate.net/profile/Shraga-Shoval/publication/2854750_Invited_article_for_the_IEEE_Robotics_and_Automation_Magazine_Special_Issue_on_Robotics_in_Bio-Engineering_Last_revised_August_27_2000/links/5d7deff1299bf1d5a97f1f48/Invited-article-for-the-IEEE-Robotics-and-Automation-Magazine-Special-Issue-on-Robotics-in-Bio-Engineering-Last-revised-August-27-2000.pdf","https://scholar.google.com/scholar?q=related:lxAbZgvDXuEJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
