IDCLIENTE;EVOLUCION_LCR;DIAS_MORA;COMPORT_INTERNO;ACTIVIDAD;EST_CIVIL;EDAD;RENTA;SEXO;TIPO_VIVIENDA;Salario_Anual;Monto_inicial;
40;Aumenta Cupo;23;Buen Cliente;Dependiente;Soltero;32;2472;F;Arrienda; $262.032 ; $26.203 ;
41;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;31;2810;F;Arrienda; $297.860 ; $29.786 ;
42;Disminuye Cupo;24;Buen Cliente;Independiente;Casado;47;6970;F;Arrienda; $348.500 ; $69.700 ;
43;Aumenta Cupo;18;Buen Cliente;Independiente;Soltero;41;2796;F;Arrienda; $296.376 ; $59.275 ;
44;Mantiene Cupo;24;Buen Cliente;Independiente;Casado;29;1116;M;Propia; $55.800 ; $11.160 ;
45;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;30;2415;F;Propia; $255.990 ; $25.599 ;
46;Disminuye Cupo;18;Buen Cliente;Independiente;Casado;33;2445;F;Arrienda; $122.250 ; $24.450 ;
47;Aumenta Cupo;23;Buen Cliente;Independiente;Casado;30;3441;M;Propia; $172.050 ; $34.410 ;
48;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;30;4671;F;Arrienda; $233.550 ; $23.355 ;
49;Aumenta Cupo;3;Buen Cliente;Independiente;Soltero;37;4976;F;Propia; $527.456 ; $105.491 ;
50;Disminuye Cupo;24;Buen Cliente;Independiente;Casado;29;4023;M;Propia; $201.150 ; $40.230 ;
51;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;21;4905;F;Arrienda; $519.930 ; $103.986 ;
52;Mantiene Cupo;36;Mal Cliente;Dependiente;Soltero;28;1256;F;Propia; $133.136 ; $13.314 ;
53;Aumenta Cupo;9;Buen Cliente;Independiente;Casado;27;2301;M;Propia; $115.050 ; $23.010 ;
54;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;30;1862;M;Propia; $93.100 ; $9.310 ;
55;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;28;1923;M;Propia; $96.150 ; $9.615 ;
56;Disminuye Cupo;12;Mal Cliente;Dependiente;Casado;20;2462;F;Arrienda; $123.100 ; $12.310 ;
57;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;56;878;F;Propia; $93.068 ; $9.307 ;
58;Disminuye Cupo;15;Buen Cliente;Dependiente;Soltero;25;2816;F;Propia; $298.496 ; $29.850 ;
59;Aumenta Cupo;21;Buen Cliente;Dependiente;Soltero;53;1213;F;Propia; $128.578 ; $12.858 ;
60;Aumenta Cupo;36;Mal Cliente;Independiente;Casado;47;4426;M;Propia; $221.300 ; $44.260 ;
61;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;29;6710;F;Propia; $711.260 ; $142.252 ;
62;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;29;1386;F;Arrienda; $146.916 ; $14.692 ;
63;Aumenta Cupo;57;Mal Cliente;Dependiente;Soltero;28;2513;F;Propia; $266.378 ; $26.638 ;
64;Aumenta Cupo;36;Buen Cliente;Independiente;Soltero;48;1909;F;Propia; $202.354 ; $40.471 ;
65;Disminuye Cupo;12;Buen Cliente;Independiente;Soltero;34;1324;F;Propia; $140.344 ; $28.069 ;
66;Aumenta Cupo;6;Buen Cliente;Dependiente;Soltero;30;3428;F;Arrienda; $363.368 ; $36.337 ;
67;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;48;2270;M;Propia; $113.500 ; $11.350 ;
68;Aumenta Cupo;23;Buen Cliente;Dependiente;Casado;29;2965;M;Propia; $148.250 ; $14.825 ;
69;Mantiene Cupo;12;Buen Cliente;Dependiente;Casado;28;1903;F;Arrienda; $95.150 ; $9.515 ;
70;Aumenta Cupo;24;Buen Cliente;Independiente;Casado;31;1814;M;Propia; $90.700 ; $18.140 ;
71;Mantiene Cupo;21;Buen Cliente;Dependiente;Casado;33;1993;M;Propia; $99.650 ; $9.965 ;
72;Aumenta Cupo;30;Buen Cliente;Dependiente;Soltero;36;1768;F;Propia; $187.408 ; $18.741 ;
73;Aumenta Cupo;36;Mal Cliente;Dependiente;Soltero;32;1382;F;Propia; $146.492 ; $14.649 ;
74;Aumenta Cupo;0;Buen Cliente;Dependiente;Soltero;38;4285;M;Propia; $454.210 ; $45.421 ;
75;Mantiene Cupo;12;Buen Cliente;Dependiente;Casado;32;5534;M;Propia; $276.700 ; $27.670 ;
76;Mantiene Cupo;9;Buen Cliente;Dependiente;Casado;41;2856;M;Propia; $142.800 ; $14.280 ;
77;Aumenta Cupo;21;Buen Cliente;Dependiente;Casado;30;2844;M;Propia; $142.200 ; $14.220 ;
78;Aumenta Cupo;24;Buen Cliente;Independiente;Soltero;33;2926;M;Propia; $310.156 ; $62.031 ;
79;Disminuye Cupo;21;Buen Cliente;Independiente;Casado;34;3414;F;Propia; $170.700 ; $34.140 ;
80;Aumenta Cupo;15;Buen Cliente;Dependiente;Soltero;35;1992;M;Propia; $211.152 ; $21.115 ;
81;Aumenta Cupo;24;Buen Cliente;Independiente;Soltero;29;2193;F;Arrienda; $232.458 ; $46.492 ;
82;Aumenta Cupo;36;Mal Cliente;Dependiente;Casado;42;859;M;Propia; $42.950 ; $4.295 ;
83;Mantiene Cupo;18;Buen Cliente;Independiente;Casado;55;2621;M;Propia; $131.050 ; $26.210 ;
84;Mantiene Cupo;15;Buen Cliente;Dependiente;Soltero;31;3962;F;Propia; $419.972 ; $41.997 ;
85;Aumenta Cupo;15;Buen Cliente;Dependiente;Soltero;46;1608;F;Propia; $170.448 ; $17.045 ;
86;Disminuye Cupo;12;Buen Cliente;Independiente;Casado;60;1948;M;Propia; $97.400 ; $19.480 ;
87;Aumenta Cupo;0;Buen Cliente;Dependiente;Soltero;38;1741;F;Propia; $184.546 ; $18.455 ;
88;Aumenta Cupo;36;Buen Cliente;Dependiente;Casado;31;1725;F;Arrienda; $86.250 ; $8.625 ;
89;Disminuye Cupo;6;Buen Cliente;Independiente;Soltero;28;4422;F;Arrienda; $468.732 ; $93.746 ;
90;Mantiene Cupo;24;Buen Cliente;Independiente;Soltero;34;842;F;Arrienda; $89.252 ; $17.850 ;
91;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;28;2584;F;Propia; $273.904 ; $54.781 ;
92;Mantiene Cupo;30;Mal Cliente;Dependiente;Soltero;39;6298;F;Arrienda; $667.588 ; $66.759 ;
93;Mantiene Cupo;30;Mal Cliente;Independiente;Soltero;50;1747;F;Arrienda; $185.182 ; $37.036 ;
94;Disminuye Cupo;9;Buen Cliente;Dependiente;Casado;38;2413;M;Propia; $120.650 ; $12.065 ;
95;Mantiene Cupo;18;Buen Cliente;Dependiente;Casado;54;3685;M;Propia; $184.250 ; $18.425 ;
96;Aumenta Cupo;27;Buen Cliente;Dependiente;Soltero;28;2254;F;Propia; $238.924 ; $23.892 ;
97;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;38;2400;F;Arrienda; $254.400 ; $25.440 ;
98;Mantiene Cupo;57;Buen Cliente;Independiente;Soltero;33;1686;F;Arrienda; $178.716 ; $35.743 ;
99;Disminuye Cupo;9;Buen Cliente;Dependiente;Casado;47;1505;M;Propia; $75.250 ; $7.525 ;
100;Mantiene Cupo;42;Mal Cliente;Independiente;Casado;48;3281;F;Arrienda; $164.050 ; $32.810 ;
101;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;34;1899;M;Propia; $94.950 ; $9.495 ;
102;Disminuye Cupo;15;Buen Cliente;Independiente;Soltero;27;6192;F;Arrienda; $656.352 ; $131.270 ;
103;Mantiene Cupo;24;Buen Cliente;Independiente;Casado;36;2840;M;Propia; $142.000 ; $28.400 ;
104;Mantiene Cupo;36;Buen Cliente;Independiente;Casado;57;2723;F;Arrienda; $136.150 ; $27.230 ;
105;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;38;2351;F;Propia; $249.206 ; $24.921 ;
106;Aumenta Cupo;24;Buen Cliente;Independiente;Casado;30;4161;M;Propia; $208.050 ; $41.610 ;
107;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;32;8937;F;Arrienda; $947.322 ; $189.464 ;
108;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;44;2705;F;Propia; $286.730 ; $28.673 ;
109;Aumenta Cupo;35;Buen Cliente;Dependiente;Casado;37;2267;F;Arrienda; $113.350 ; $11.335 ;
110;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;31;4059;F;Arrienda; $430.254 ; $43.025 ;
111;Disminuye Cupo;15;Buen Cliente;Independiente;Casado;38;8171;F;Arrienda; $408.550 ; $81.710 ;
112;Disminuye Cupo;6;Buen Cliente;Dependiente;Soltero;25;1894;F;Arrienda; $200.764 ; $20.076 ;
113;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;35;3278;F;Arrienda; $347.468 ; $69.494 ;
114;Aumenta Cupo;12;Mal Cliente;Dependiente;Soltero;27;1749;F;Arrienda; $185.394 ; $18.539 ;
115;Mantiene Cupo;21;Buen Cliente;Dependiente;Soltero;55;4399;F;Propia; $466.294 ; $46.629 ;
116;Mantiene Cupo;18;Buen Cliente;Independiente;Soltero;51;3351;F;Propia; $355.206 ; $71.041 ;
117;Mantiene Cupo;9;Buen Cliente;Dependiente;Casado;28;1159;M;Propia; $57.950 ; $5.795 ;
118;Aumenta Cupo;23;Buen Cliente;Dependiente;Casado;48;1737;F;Arrienda; $86.850 ; $8.685 ;
119;Aumenta Cupo;9;Buen Cliente;Dependiente;Soltero;31;9063;F;Propia; $960.678 ; $96.068 ;
120;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;34;1966;M;Propia; $98.300 ; $9.830 ;
121;Mantiene Cupo;36;Buen Cliente;Dependiente;Casado;35;4830;F;Arrienda; $241.500 ; $24.150 ;
122;Aumenta Cupo;36;Buen Cliente;Dependiente;Casado;45;1252;M;Propia; $62.600 ; $6.260 ;
123;Mantiene Cupo;6;Buen Cliente;Dependiente;Soltero;35;2022;F;Propia; $214.332 ; $21.433 ;
124;Aumenta Cupo;15;Buen Cliente;Dependiente;Soltero;36;1728;F;Arrienda; $183.168 ; $18.317 ;
125;Aumenta Cupo;15;Buen Cliente;Dependiente;Casado;28;2053;M;Propia; $102.650 ; $10.265 ;
126;Aumenta Cupo;46;Buen Cliente;Dependiente;Casado;34;2691;F;Propia; $134.550 ; $13.455 ;
127;Aumenta Cupo;15;Buen Cliente;Dependiente;Soltero;31;2834;F;Arrienda; $300.404 ; $30.040 ;
128;Aumenta Cupo;6;Buen Cliente;Dependiente;Soltero;35;1051;F;Propia; $111.406 ; $11.141 ;
129;Aumenta Cupo;18;Buen Cliente;Independiente;Soltero;39;1766;F;Propia; $187.196 ; $37.439 ;
130;Aumenta Cupo;0;Buen Cliente;Dependiente;Casado;35;10816;M;Propia; $540.800 ; $54.080 ;
131;Mantiene Cupo;23;Buen Cliente;Dependiente;Casado;39;2018;M;Propia; $100.900 ; $10.090 ;
132;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;38;3938;F;Propia; $417.428 ; $41.743 ;
133;Mantiene Cupo;6;Buen Cliente;Dependiente;Casado;35;2250;M;Propia; $112.500 ; $11.250 ;
134;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;34;4601;F;Arrienda; $487.706 ; $48.771 ;
135;Aumenta Cupo;10;Buen Cliente;Independiente;Soltero;27;3349;F;Arrienda; $354.994 ; $70.999 ;
136;Aumenta Cupo;6;Buen Cliente;Dependiente;Soltero;35;1254;F;Arrienda; $132.924 ; $13.292 ;
137;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;38;4045;F;Propia; $428.770 ; $85.754 ;
138;Disminuye Cupo;24;Mal Cliente;Independiente;Casado;51;4093;M;Propia; $204.650 ; $40.930 ;
139;Mantiene Cupo;6;Buen Cliente;Dependiente;Soltero;32;2596;F;Arrienda; $275.176 ; $27.518 ;
140;Mantiene Cupo;24;Buen Cliente;Dependiente;Casado;36;1843;M;Propia; $92.150 ; $9.215 ;
141;Aumenta Cupo;36;Buen Cliente;Dependiente;Soltero;37;1725;F;Arrienda; $182.850 ; $18.285 ;
142;Aumenta Cupo;9;Buen Cliente;Dependiente;Casado;52;1763;M;Propia; $88.150 ; $8.815 ;
143;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;31;1943;F;Arrienda; $205.958 ; $20.596 ;
144;Aumenta Cupo;9;Buen Cliente;Dependiente;Soltero;28;1359;F;Propia; $144.054 ; $14.405 ;
145;Aumenta Cupo;36;Buen Cliente;Dependiente;Soltero;42;1708;F;Arrienda; $181.048 ; $18.105 ;
146;Aumenta Cupo;21;Buen Cliente;Dependiente;Soltero;37;1110;F;Propia; $117.660 ; $11.766 ;
147;Disminuye Cupo;23;Buen Cliente;Dependiente;Soltero;47;3897;F;Propia; $413.082 ; $41.308 ;
148;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;37;4018;M;Arrienda; $200.900 ; $20.090 ;
149;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;36;4110;F;Propia; $435.660 ; $87.132 ;
150;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;29;1133;F;Propia; $120.098 ; $12.010 ;
151;Mantiene Cupo;12;Mal Cliente;Dependiente;Soltero;33;5125;F;Arrienda; $543.250 ; $54.325 ;
152;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;45;2803;F;Arrienda; $297.118 ; $29.712 ;
153;Aumenta Cupo;37;Mal Cliente;Dependiente;Casado;43;3807;M;Propia; $190.350 ; $19.035 ;
154;Mantiene Cupo;24;Buen Cliente;Independiente;Soltero;37;788;F;Propia; $83.528 ; $16.706 ;
155;Mantiene Cupo;12;Mal Cliente;Dependiente;Soltero;33;2957;F;Arrienda; $313.442 ; $31.344 ;
156;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;35;1928;M;Propia; $96.400 ; $9.640 ;
157;Disminuye Cupo;12;Mal Cliente;Dependiente;Soltero;44;2671;F;Arrienda; $283.126 ; $28.313 ;
158;Aumenta Cupo;30;Mal Cliente;Dependiente;Casado;57;2348;M;Propia; $117.400 ; $11.740 ;
159;Mantiene Cupo;45;Mal Cliente;Independiente;Casado;33;1899;F;Arrienda; $94.950 ; $18.990 ;
160;Mantiene Cupo;12;Buen Cliente;Dependiente;Casado;43;1410;M;Propia; $70.500 ; $7.050 ;
161;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;30;2193;F;Arrienda; $232.458 ; $23.246 ;
162;Mantiene Cupo;23;Buen Cliente;Independiente;Soltero;31;1433;F;Arrienda; $151.898 ; $30.380 ;
163;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;49;2770;F;Arrienda; $293.620 ; $29.362 ;
164;Aumenta Cupo;15;Buen Cliente;Dependiente;Casado;50;789;M;Propia; $39.450 ; $3.945 ;
165;Mantiene Cupo;15;Buen Cliente;Dependiente;Soltero;36;5602;F;Arrienda; $593.812 ; $59.381 ;
166;Aumenta Cupo;9;Buen Cliente;Independiente;Soltero;28;4199;M;Propia; $445.094 ; $89.019 ;
167;Aumenta Cupo;30;Buen Cliente;Dependiente;Casado;61;1195;F;Arrienda; $59.750 ; $5.975 ;
168;Aumenta Cupo;24;Buen Cliente;Independiente;Casado;28;1919;M;Propia; $95.950 ; $19.190 ;
169;Aumenta Cupo;15;Buen Cliente;Dependiente;Casado;30;1380;F;Arrienda; $69.000 ; $6.900 ;
170;Aumenta Cupo;6;Mal Cliente;Dependiente;Casado;35;3201;F;Arrienda; $160.050 ; $16.005 ;
171;Mantiene Cupo;36;Mal Cliente;Dependiente;Soltero;55;700;M;Propia; $74.200 ; $7.420 ;
172;Disminuye Cupo;12;Buen Cliente;Independiente;Casado;43;1651;F;Arrienda; $82.550 ; $16.510 ;
173;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;38;1750;F;Propia; $185.500 ; $18.550 ;
174;Aumenta Cupo;23;Buen Cliente;Dependiente;Casado;29;3466;M;Propia; $173.300 ; $17.330 ;
175;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;30;2047;M;Propia; $216.982 ; $21.698 ;
176;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;38;2523;M;Arrienda; $267.438 ; $26.744 ;
177;Aumenta Cupo;24;Buen Cliente;Independiente;Casado;38;2592;M;Propia; $129.600 ; $25.920 ;
178;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;30;2582;M;Propia; $273.692 ; $27.369 ;
179;Aumenta Cupo;18;Buen Cliente;Independiente;Soltero;32;1737;M;Propia; $184.122 ; $36.824 ;
180;Aumenta Cupo;34;Mal Cliente;Dependiente;Casado;49;1868;M;Propia; $93.400 ; $9.340 ;
181;Aumenta Cupo;9;Buen Cliente;Dependiente;Soltero;30;1793;F;Arrienda; $190.058 ; $19.006 ;
182;Aumenta Cupo;18;Buen Cliente;Independiente;Soltero;32;2377;F;Arrienda; $251.962 ; $50.392 ;
183;Disminuye Cupo;30;Mal Cliente;Independiente;Casado;56;1733;M;Propia; $86.650 ; $17.330 ;
184;Aumenta Cupo;30;Buen Cliente;Dependiente;Soltero;30;1167;F;Arrienda; $123.702 ; $12.370 ;
185;Aumenta Cupo;9;Buen Cliente;Independiente;Soltero;31;2197;F;Arrienda; $232.882 ; $46.576 ;
186;Aumenta Cupo;36;Buen Cliente;Independiente;Soltero;36;1738;M;Propia; $184.228 ; $36.846 ;
187;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;52;1488;M;Propia; $157.728 ; $31.546 ;
188;Aumenta Cupo;23;Buen Cliente;Dependiente;Casado;38;3679;M;Propia; $183.950 ; $18.395 ;
189;Mantiene Cupo;36;Buen Cliente;Dependiente;Soltero;38;4027;M;Propia; $426.862 ; $42.686 ;
190;Mantiene Cupo;21;Buen Cliente;Independiente;Casado;41;1132;F;Arrienda; $56.600 ; $11.320 ;
191;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;37;1177;M;Propia; $124.762 ; $12.476 ;
192;Mantiene Cupo;36;Buen Cliente;Dependiente;Soltero;46;1231;F;Propia; $130.486 ; $13.049 ;
193;Mantiene Cupo;58;Mal Cliente;Independiente;Soltero;40;1151;F;Arrienda; $122.006 ; $24.401 ;
194;Aumenta Cupo;24;Buen Cliente;Independiente;Soltero;50;2519;M;Propia; $267.014 ; $53.403 ;
195;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;33;1975;M;Propia; $98.750 ; $9.875 ;
196;Aumenta Cupo;33;Buen Cliente;Dependiente;Casado;57;8079;M;Propia; $403.950 ; $40.395 ;
197;Aumenta Cupo;6;Buen Cliente;Independiente;Casado;37;3949;M;Propia; $197.450 ; $39.490 ;
198;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;29;1796;F;Arrienda; $190.376 ; $19.038 ;
199;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;38;10927;M;Propia; $546.350 ; $54.635 ;
200;Aumenta Cupo;41;Mal Cliente;Independiente;Soltero;51;3374;F;Arrienda; $357.644 ; $71.529 ;
201;Aumenta Cupo;30;Mal Cliente;Dependiente;Casado;46;1681;M;Propia; $84.050 ; $8.405 ;
202;Aumenta Cupo;28;Mal Cliente;Dependiente;Casado;54;2411;M;Propia; $120.550 ; $12.055 ;
203;Mantiene Cupo;18;Mal Cliente;Dependiente;Casado;48;2308;M;Propia; $115.400 ; $11.540 ;
204;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;53;1671;F;Arrienda; $177.126 ; $17.713 ;
205;Disminuye Cupo;21;Buen Cliente;Independiente;Casado;52;1838;M;Propia; $91.900 ; $18.380 ;
206;Mantiene Cupo;18;Buen Cliente;Independiente;Casado;35;2729;M;Propia; $136.450 ; $27.290 ;
207;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;32;1708;M;Propia; $85.400 ; $8.540 ;
208;Mantiene Cupo;15;Buen Cliente;Dependiente;Soltero;36;1853;M;Propia; $196.418 ; $19.642 ;
209;Mantiene Cupo;32;Mal Cliente;Independiente;Casado;46;7018;M;Propia; $350.900 ; $70.180 ;
210;Aumenta Cupo;9;Buen Cliente;Dependiente;Casado;35;8208;M;Propia; $410.400 ; $41.040 ;
211;Mantiene Cupo;4;Buen Cliente;Independiente;Casado;37;793;M;Propia; $39.650 ; $7.930 ;
212;Disminuye Cupo;24;Mal Cliente;Dependiente;Soltero;32;2041;M;Propia; $216.346 ; $21.635 ;
213;Disminuye Cupo;24;Mal Cliente;Dependiente;Casado;32;1964;M;Propia; $98.200 ; $9.820 ;
214;Mantiene Cupo;6;Buen Cliente;Independiente;Soltero;34;4100;M;Propia; $434.600 ; $86.920 ;
215;Mantiene Cupo;9;Buen Cliente;Independiente;Casado;35;4049;M;Propia; $202.450 ; $40.490 ;
216;Mantiene Cupo;10;Buen Cliente;Independiente;Soltero;47;908;M;Propia; $96.248 ; $19.250 ;
217;Aumenta Cupo;10;Buen Cliente;Dependiente;Soltero;47;7843;F;Arrienda; $831.358 ; $83.136 ;
218;Mantiene Cupo;6;Buen Cliente;Independiente;Soltero;35;1497;F;Propia; $158.682 ; $31.736 ;
219;Disminuye Cupo;34;Mal Cliente;Independiente;Casado;52;1921;F;Arrienda; $96.050 ; $19.210 ;
220;Aumenta Cupo;10;Buen Cliente;Independiente;Soltero;44;1656;M;Propia; $175.536 ; $35.107 ;
221;Disminuye Cupo;18;Mal Cliente;Dependiente;Casado;38;1157;M;Propia; $57.850 ; $5.785 ;
222;Mantiene Cupo;30;Mal Cliente;Dependiente;Casado;37;1953;M;Propia; $97.650 ; $9.765 ;
223;Aumenta Cupo;0;Buen Cliente;Dependiente;Casado;33;1487;M;Propia; $74.350 ; $7.435 ;
224;Aumenta Cupo;27;Buen Cliente;Dependiente;Soltero;47;3631;M;Propia; $384.886 ; $38.489 ;
225;Disminuye Cupo;18;Buen Cliente;Dependiente;Casado;42;5831;M;Propia; $291.550 ; $29.155 ;
226;Aumenta Cupo;0;Buen Cliente;Dependiente;Soltero;33;1841;F;Arrienda; $195.146 ; $19.515 ;
227;Disminuye Cupo;18;Buen Cliente;Independiente;Soltero;47;2363;M;Propia; $250.478 ; $50.096 ;
228;Aumenta Cupo;14;Buen Cliente;Independiente;Soltero;27;7616;M;Propia; $807.296 ; $161.459 ;
229;Aumenta Cupo;21;Buen Cliente;Independiente;Soltero;34;1859;F;Arrienda; $197.054 ; $39.411 ;
230;Mantiene Cupo;6;Mal Cliente;Independiente;Casado;47;3428;M;Propia; $171.400 ; $34.280 ;
231;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;37;1426;M;Propia; $151.156 ; $15.116 ;
232;Aumenta Cupo;6;Mal Cliente;Dependiente;Casado;21;2825;F;Propia; $141.250 ; $14.125 ;
233;Aumenta Cupo;39;Mal Cliente;Dependiente;Casado;48;972;M;Propia; $48.600 ; $4.860 ;
234;Disminuye Cupo;30;Buen Cliente;Dependiente;Casado;33;1604;M;Arrienda; $80.200 ; $8.020 ;
