Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
035-185-985-584-737,16th Annual conference of the international society for computer aided surgery,2012-05-17,2012,journal article,International Journal of Computer Assisted Radiology and Surgery,18616410; 18616429,Springer Science and Business Media LLC,Germany,,,7,S1,369,465,Medicine; Computer science; General surgery,,,,,,http://dx.doi.org/10.1007/s11548-012-0737-y,,10.1007/s11548-012-0737-y,,,0,,3,false,,
035-313-478-601-436,Obstruction Avoidance Framework for Indoor and Outdoor Navigation to Enhance Mobility of Visually Impaired Person,2023-04-20,2023,conference proceedings article,"2023 International Conference on Computational Intelligence, Communication Technology and Networking (CICTN)",,IEEE,,Tanya Tanya; Saurabh Singh; Subrat Tripathi; Shivani Kapoor; Amanpreet Singh Saini,"Blindness and visual impairments in computer vision are among the top ten disabilities affecting people, with India having the largest percentage of visually impaired people worldwide. An object detection and recognition framework is being created to aid in helping these people navigate and remain safe in their surroundings. This system uses a camera to capture an image and feed it as input to the software. The Single Shot MultiBox Detector (SSD) architecture is employed for object detection, utilizing deep neural networks to achieve accurate results. The input image is processed using the COCO datasets, which act as the system's training data and are predefined in the Tensor Flow framework. About 90% of objects in the actual world have features in these datasets, and depth estimation is used to calculate distance. The software then produces an audio output with the assistance of voice packages. Python is used to build the system because it has many built-in packages and libraries that make complicated code easier to understand. As a result, writing programmes with fewer lines of code is simpler.",,,,,Computer science; Python (programming language); Artificial intelligence; Computer vision; Software; Blindness; Visually impaired; Object detection; Optical flow; Code (set theory); Human–computer interaction; Image (mathematics); Segmentation; Programming language; Medicine; Set (abstract data type); Optometry,,,,,,http://dx.doi.org/10.1109/cictn57981.2023.10140455,,10.1109/cictn57981.2023.10140455,,,0,017-042-971-176-619; 027-682-239-914-13X; 033-554-664-404-916; 105-095-514-938-373; 106-587-878-038-509; 112-566-962-059-235; 149-393-755-739-676; 152-127-960-081-400; 165-422-564-417-041; 171-057-734-143-202; 179-067-951-617-101; 199-788-200-071-609,1,false,,
035-505-616-217-747,Artificial potential functions based camera movements and visual behaviors in attentive robots,2011-08-11,2011,journal article,Autonomous Robots,09295593; 15737527,Springer Science and Business Media LLC,Netherlands,Ozgur Erkent; H. Isil Bozma,,32,1,15,34,Smooth pursuit; Motion (physics); Visual servoing; Saccadic masking; Automaton; Artificial intelligence; Novelty; Computer vision; Computer science; Dynamical systems theory; Robot,,,,,https://link.springer.com/article/10.1007%2Fs10514-011-9240-5 https://dblp.uni-trier.de/db/journals/arobots/arobots32.html#ErkentB12 https://rd.springer.com/content/pdf/10.1007%2Fs10514-011-9240-5.pdf,http://dx.doi.org/10.1007/s10514-011-9240-5,,10.1007/s10514-011-9240-5,2092955338,,0,002-819-820-329-441; 003-099-733-308-048; 006-149-952-440-649; 007-622-955-326-056; 008-197-123-503-47X; 009-483-175-409-761; 014-145-947-109-187; 014-268-266-061-165; 015-722-657-916-101; 015-998-839-756-88X; 017-030-680-005-985; 017-560-889-530-834; 021-345-144-727-301; 022-265-058-486-317; 023-370-064-023-846; 023-548-656-777-161; 023-919-131-089-315; 025-309-865-441-247; 027-184-489-316-181; 035-785-918-328-521; 035-890-066-979-90X; 036-125-126-588-483; 040-304-494-609-514; 040-975-968-953-251; 043-020-833-842-287; 046-081-607-258-531; 047-175-420-949-563; 048-730-954-645-480; 049-149-448-212-233; 053-038-343-836-384; 053-752-920-804-699; 055-014-100-192-154; 057-553-587-549-164; 059-995-930-296-805; 060-080-925-286-207; 060-319-594-246-789; 060-437-552-797-221; 066-845-831-097-771; 067-001-628-699-132; 067-023-626-670-51X; 067-255-511-386-538; 067-668-236-111-761; 068-993-734-562-560; 069-217-390-348-37X; 072-901-031-588-936; 076-497-631-058-676; 078-833-748-452-944; 087-442-125-858-743; 092-283-280-765-606; 096-542-114-349-227; 096-717-380-007-985; 097-231-783-172-092; 097-967-098-624-46X; 100-797-551-662-34X; 101-029-620-275-04X; 103-639-032-104-472; 105-273-779-648-91X; 106-352-705-102-836; 109-605-302-092-268; 110-564-232-978-510; 114-859-821-305-481; 117-133-276-301-317; 127-829-253-650-862; 133-400-954-185-137; 134-129-530-852-822; 134-608-951-601-675; 135-845-315-546-105; 139-677-647-646-036; 139-855-442-331-11X; 149-378-392-762-467; 150-015-862-946-547; 161-376-313-914-721; 173-099-375-692-143; 176-567-213-407-630,7,false,,
035-506-792-102-812,Estimating camera parameters from starry night photographs,2020-11-06,2020,journal article,Computational Visual Media,20960433; 20960662,Springer Science and Business Media LLC,,Naoto Ishikawa; Yoshinori Dobashi,"We propose an efficient, specific method for estimating camera parameters from a single starry night image. Such an image consists of a collection of disks representing stars, so traditional estimation methods for common pictures do not work. Our method uses a database, a star catalog, that stores the positions of stars on the celestial sphere. Our method computes magnitudes (i.e., brightnesses) of stars in the input image and uses them to find the corresponding stars in the star catalog. Camera parameters can then be estimated by a simple geometric calculation. Our method is over ten times faster and more accurate than a previous method.",6,4,445,454,A* search algorithm; Stars; Artificial intelligence; Celestial sphere; Astrophotography; Computer vision; Computer science; Star catalogue; Pattern matching; Constellation; Computer graphics,,,,,https://link.springer.com/article/10.1007/s41095-020-0198-0 http://cvm.tsinghuajournals.com/EN/10.1007/s41095-020-0198-0 https://link.springer.com/content/pdf/10.1007/s41095-020-0198-0.pdf https://doi.org/10.1007/s41095-020-0198-0 https://dblp.uni-trier.de/db/journals/cvm/cvm6.html#IshikawaD20 https://www.firstacademics.com/article/10.1007/s41095-020-0198-0 https://eprints.lib.hokudai.ac.jp/dspace/handle/2115/82075,http://dx.doi.org/10.1007/s41095-020-0198-0,,10.1007/s41095-020-0198-0,3097953759,,0,002-772-785-956-814; 006-854-381-125-162; 021-714-157-778-918; 028-303-905-295-179; 038-055-831-499-04X; 049-283-340-824-999; 052-680-377-730-600; 061-176-969-004-876; 064-890-070-028-869; 068-955-186-300-764; 070-195-968-155-402; 071-982-848-783-059; 074-626-718-145-110; 077-496-824-833-976; 081-613-857-062-99X; 086-011-836-617-70X; 087-242-738-300-041; 088-890-703-294-405; 104-887-486-795-49X; 105-985-948-410-597; 114-058-237-547-334; 119-198-581-005-848; 123-085-521-342-627; 146-128-713-708-816; 159-383-244-984-833; 162-053-743-682-369; 176-136-239-718-272,0,true,cc-by,gold
035-826-945-197-860,Multi-Robot Exploration in Wireless Environments,2012-04-26,2012,journal article,Cognitive Computation,18669956; 18669964,Springer Science and Business Media LLC,Germany,Anshika Pal; Ritu Tiwari; Anupam Shukla,,4,4,526,542,Wireless network; Distributed computing; Communications protocol; Mobile robot; Mobile robot navigation; Interaction protocol; Computer science; Wireless; Robot; Mobile ad hoc network,,,,,https://link.springer.com/article/10.1007/s12559-012-9142-7/fulltext.html https://link.springer.com/article/10.1007/s12559-012-9142-7 https://link.springer.com/content/pdf/10.1007%2Fs12559-012-9142-7.pdf,http://dx.doi.org/10.1007/s12559-012-9142-7,,10.1007/s12559-012-9142-7,1973084318,,0,003-622-848-273-002; 012-068-899-532-319; 016-559-281-047-399; 019-643-795-395-80X; 023-842-565-185-037; 024-311-129-393-677; 025-079-446-503-115; 031-901-989-328-529; 033-071-263-883-710; 035-689-623-011-869; 041-317-722-448-37X; 046-146-590-965-081; 050-929-418-514-858; 052-353-933-555-973; 052-561-654-431-958; 053-629-969-804-688; 054-213-458-012-555; 058-811-259-191-613; 059-261-928-043-160; 059-838-321-363-540; 063-179-842-524-336; 064-053-186-811-574; 071-957-292-698-97X; 072-211-545-989-421; 074-114-810-653-477; 074-566-285-876-521; 077-986-052-800-104; 081-001-965-572-922; 091-078-709-243-028; 092-089-063-945-775; 093-595-402-120-03X; 094-732-695-115-895; 097-218-957-636-090; 098-416-326-090-910; 102-493-145-730-167; 102-613-586-876-528; 118-175-107-260-675; 124-110-560-799-978; 131-830-246-564-846; 145-804-086-994-546; 151-659-555-170-056; 152-994-736-300-459; 154-987-956-854-610; 155-745-621-981-76X; 156-759-174-255-558,14,false,,
036-043-861-867-834,A 3D Computer Vision-Guided Robotic Companion for Non-Contact Human Assistance and Rehabilitation,2020-09-21,2020,journal article,Journal of intelligent & robotic systems,15730409; 09210296,Springer Science and Business Media LLC,Netherlands,Tao Shen; Rayhan Afsar; He Zhang; Cang Ye; Xiangrong Shen,"With the rapid aging of the U.S. population, the mobility impairment is becoming a more and more challenging issue that affects a large number of individuals. The research presented in this paper aims at helping the mobility-challenged individuals with a novel robotic companion, which is a walker-type mobile robot capable of accompanying the human user and keeping user at the center for protection and possible power assistance. The robotic companion is equipped with a 3D computer vision system, which provides a unique capability of sensing the human-robot relative position/orientation without physical contact or the need for wearable sensors. As such, the robotic companion enables the user to walk freely with minimum disturbance to his/her normal gait, relieving the user from the physical and cognitive loads associated with the use of traditional assistive devices. For the development of the robotic companion, the authors designed and fabricated a low-cost, differentially steered mobile robotic platform, and also developed a unique image processing system to extract the position/orientation information from the 3D camera-captured images. Furthermore, an advanced motion control system was developed for the robotic companion, which provides novel solutions to the unique challenges such as sway reduction and noise reduction in digital differentiation. To quantify the performance, component and system-level experimentation was conducted, and the results demonstrated that robotic companion and its key components function as desired and the system is expected to reduce the user load and improve the user mobility in real-world scenarios.",100,3,911,923,Motion control; Wearable computer; Artificial intelligence; Mobile robot; Key (cryptography); Population; Computer vision; Computer science; Component (UML); Orientation (computer vision); Image processing,,,,NINR NIH HHS (R01 NR016151) United States,https://doi.org/10.1007/s10846-020-01258-1 https://dialnet.unirioja.es/servlet/articulo?codigo=7819158 https://europepmc.org/article/MED/33776207 http://doi.org/10.1007/s10846-020-01258-1 https://www.ncbi.nlm.nih.gov/pubmed/33776207 https://pubmed.ncbi.nlm.nih.gov/33776207/ https://link.springer.com/article/10.1007/s10846-020-01258-1 https://dblp.uni-trier.de/db/journals/jirs/jirs100.html#ShenAZYS20,http://dx.doi.org/10.1007/s10846-020-01258-1,33776207,10.1007/s10846-020-01258-1,3087247447,PMC7990042,0,003-788-872-941-98X; 003-940-066-092-112; 007-381-264-100-950; 013-769-784-215-602; 016-144-296-568-90X; 016-397-781-226-597; 019-100-674-376-820; 020-503-248-292-220; 021-742-137-073-847; 024-801-865-678-402; 028-355-201-727-652; 031-321-776-637-634; 031-340-088-964-440; 034-901-989-083-065; 037-966-150-573-567; 040-151-128-084-899; 041-763-166-386-234; 046-003-043-896-867; 048-981-722-695-207; 050-489-372-109-454; 054-729-367-254-142; 055-118-890-810-901; 069-273-676-118-998; 069-523-876-223-951; 075-511-167-215-130; 077-018-374-860-718; 080-403-334-364-161; 081-903-032-858-93X; 087-181-732-370-085; 089-068-421-285-041; 096-013-117-377-764; 102-443-499-451-493; 106-527-885-911-500; 111-260-356-453-39X; 123-324-175-118-985; 150-595-881-944-663; 153-606-108-662-781; 158-909-333-285-572,5,true,,green
036-071-747-081-676,Guide Me: Recognition and Servoing on Mobiles,2018-01-31,2018,journal article,Arabian Journal for Science and Engineering,2193567x; 21914281; 13198025,Springer Science and Business Media LLC,Saudi Arabia,Abdulhafez Abdulhafez; Gaurav Harit,,43,12,7359,7372,Artificial intelligence; Reliability (computer networking); Matching (graph theory); Thesaurus (information retrieval); Mobile phone; Computer vision; Computer science; Computation; Object (computer science); Cognitive neuroscience of visual object recognition; Convergence (routing),,,,,https://link.springer.com/article/10.1007/s13369-018-3084-7 https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=201902288964487635,http://dx.doi.org/10.1007/s13369-018-3084-7,,10.1007/s13369-018-3084-7,2785500319,,0,000-786-716-359-893; 002-234-863-117-357; 002-345-873-500-677; 003-031-964-861-122; 008-620-985-087-567; 010-557-331-864-382; 016-539-862-398-535; 023-925-368-922-548; 025-513-762-128-619; 025-862-355-055-075; 032-633-708-641-366; 046-703-334-644-632; 047-727-195-203-863; 050-828-593-256-726; 051-817-341-806-456; 058-916-069-385-979; 059-874-975-599-390; 061-677-802-154-042; 071-583-782-423-553; 074-199-903-520-265; 077-602-265-835-620; 084-729-807-470-497; 086-083-592-775-973; 099-121-947-089-398; 102-786-306-974-437; 103-023-625-535-563; 114-140-860-480-410; 114-905-235-118-928; 116-971-646-450-632; 118-145-550-416-139; 120-273-856-497-267; 141-132-265-070-694; 175-494-915-435-125; 192-751-999-674-131,0,false,,
036-166-855-358-929,Artificial mosaics,2005-06-09,2005,journal article,The Visual Computer,01782789; 14328726; 14322315,Springer Science and Business Media LLC,Germany,Gianpiero Di Blasi; Giovanni Gallo,,21,6,373,383,Image (mathematics); Computer graphics (images); Raster graphics; Simple (abstract algebra); Quality (business); Along edge; Mosaic (geodemography); Computer science; Computer graphics; Image processing,,,,,https://link.springer.com/article/10.1007/s00371-005-0292-4 https://link.springer.com/content/pdf/10.1007%2Fs00371-005-0292-4.pdf,http://dx.doi.org/10.1007/s00371-005-0292-4,,10.1007/s00371-005-0292-4,3188012383,,0,006-781-366-308-839; 016-896-353-266-476; 021-291-234-767-592; 021-502-842-217-487; 036-973-617-888-116; 052-158-521-354-848; 053-524-100-900-867; 076-198-255-092-415; 077-691-867-193-757; 155-632-268-139-764; 190-341-124-346-931,52,false,,
036-920-253-203-542,Towards reliable object detection in noisy images,2017-12-09,2017,journal article,Pattern Recognition and Image Analysis,10546618; 15556212,Pleiades Publishing Ltd,United States,Sergey Milyaev; Ivan Laptev,,27,4,713,722,Image compression; Artificial intelligence; Noise reduction; Object detection; Pedestrian detection; Computer vision; Image noise; Computer science; Image quality; Cognitive neuroscience of visual object recognition; Convolutional neural network,,,,,https://dl.acm.org/doi/10.1134/S1054661817040149 https://link.springer.com/article/10.1134/S1054661817040149,http://dx.doi.org/10.1134/s1054661817040149,,10.1134/s1054661817040149,2774297389,,0,003-499-035-235-702; 004-193-609-931-550; 007-316-191-175-159; 007-557-606-137-195; 010-037-102-410-599; 010-759-689-155-412; 015-620-703-326-093; 022-127-283-176-758; 023-438-345-162-875; 024-881-309-381-23X; 034-073-120-160-844; 040-218-035-484-010; 041-036-823-153-65X; 066-133-135-091-645; 069-137-512-638-317; 085-507-633-373-250; 094-760-470-146-509; 171-744-559-076-587; 195-091-532-336-938,21,false,,
037-039-198-474-114,Finding objects for assisting blind people,2013-02-07,2013,journal article,Network modeling and analysis in health informatics and bioinformatics,21926662; 21926670,Springer Nature,United States,Chucai Yi; Roberto W. Flores; Ricardo Chincha; Yingli Tian,"Computer vision technology has been widely used for blind assistance, such as navigation and way finding. However, few camera-based systems are developed for helping blind or visually impaired people to find daily necessities. In this paper, we propose a prototype system of blind-assistant object finding by camera-based network and matching-based recognition. We collect a dataset of daily necessities and apply Speeded-Up Robust Features and Scale Invariant Feature Transform feature descriptors to perform object recognition. Experimental results demonstrate the effectiveness of our prototype system.",2,2,71,79,Machine learning; Artificial intelligence; Way finding; Visually impaired; Computer vision; Computer science; Scale-invariant feature transform; Object (computer science); Cognitive neuroscience of visual object recognition; Feature (computer vision),,,,NEI NIH HHS (R21 EY020990) United States,https://paperity.org/p/8908544/finding-objects-for-assisting-blind-people https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3719410/ http://europepmc.org/articles/PMC3719410 https://link.springer.com/10.1007/s13721-013-0026-x https://link.springer.com/article/10.1007/s13721-013-0026-x https://dblp.uni-trier.de/db/journals/netmahib/netmahib2.html#YiFCT13 https://link.springer.com/content/pdf/10.1007%2Fs13721-013-0026-x.pdf,http://dx.doi.org/10.1007/s13721-013-0026-x,23894729,10.1007/s13721-013-0026-x,1998144823,PMC3719410,10,002-469-564-380-629; 005-861-492-610-995; 015-049-788-401-629; 017-062-246-464-560; 021-272-916-231-150; 034-350-308-512-672; 039-533-788-125-463; 044-202-560-313-315; 046-684-991-081-664; 055-382-135-850-769; 068-279-882-269-210; 068-446-370-600-681; 075-520-682-747-021; 093-265-408-337-289; 094-513-668-877-229; 096-014-228-878-398; 098-440-015-522-27X; 119-147-559-161-430; 120-786-413-189-971; 124-597-558-957-962; 133-207-039-243-212; 148-641-826-351-69X; 189-691-486-505-033,25,true,,green
037-133-995-895-465,Scale Invariant Feature Transform on the Sphere: Theory and Applications,2011-11-10,2011,journal article,International Journal of Computer Vision,09205691; 15731405,Springer Science and Business Media LLC,Netherlands,Javier Cruz-Mota; Iva Bogdanova; Benoît Paquier; Michel Bierlaire; Jean-Philippe Thiran,"A SIFT algorithm in spherical coordinates for omnidirectional images is proposed. This algorithm can generate two types of local descriptors, Local Spherical Descriptors and Local Planar Descriptors. With the first ones, point matching between two omnidirectional images can be performed, and with the second ones, the same matching process can be done but between omnidirectional and planar images. Furthermore, a planar to spherical mapping is introduced and an algorithm for its estimation is given. This mapping allows to extract objects from an omnidirectional image given their SIFT descriptors in a planar image. Several experiments, confirming the promising and accurate performance of the system, are conducted.",98,2,217,241,Spherical coordinate system; Planar; Artificial intelligence; Pattern recognition; Matching (graph theory); Point set registration; Omnidirectional antenna; Object detection; Computer vision; Mathematics; Feature extraction; Scale-invariant feature transform,,,,,https://doc.rero.ch/record/314293 https://infoscience.epfl.ch/record/170321 https://dx.doi.org/10.1007/s11263-011-0505-4 https://link.springer.com/article/10.1007%2Fs11263-011-0505-4 https://www.tpbin.com/Uploads/Subjects/e284e938-0dfe-411f-b6c6-1cad0f5cc9dd.pdf http://www.tpbin.com/Uploads/Subjects/e284e938-0dfe-411f-b6c6-1cad0f5cc9dd.pdf http://dx.doi.org/10.1007/s11263-011-0505-4 https://dblp.uni-trier.de/db/journals/ijcv/ijcv98.html#Cruz-MotaBPBT12 https://core.ac.uk/download/147975814.pdf,http://dx.doi.org/10.1007/s11263-011-0505-4,,10.1007/s11263-011-0505-4,2157653924,,1,002-724-634-490-58X; 005-000-267-388-326; 005-597-562-783-614; 008-215-888-545-387; 011-450-474-079-329; 012-642-196-605-159; 015-215-743-243-429; 016-575-037-768-178; 017-019-672-760-676; 021-033-546-707-589; 026-066-303-554-074; 027-110-881-564-946; 028-303-905-295-179; 028-412-594-347-797; 029-061-861-419-041; 033-245-685-094-882; 037-379-927-843-110; 041-003-807-260-374; 046-668-544-844-797; 054-573-724-656-644; 068-344-965-124-736; 069-552-164-534-05X; 074-920-703-064-454; 076-881-990-743-807; 079-499-077-131-386; 084-679-921-430-947; 087-911-891-613-904; 098-440-015-522-27X; 100-321-806-722-989; 105-204-888-195-359; 108-135-700-298-624; 113-758-486-360-782; 117-241-275-478-979; 117-589-640-323-914; 123-916-387-179-404; 128-785-454-931-518; 130-461-950-828-57X; 130-681-299-817-98X; 135-920-960-607-545; 137-423-666-102-293; 139-282-589-508-244; 139-519-941-168-377; 146-296-596-852-060; 146-772-866-616-83X; 149-382-334-560-48X; 155-066-611-554-516; 166-011-740-159-900; 174-260-789-699-77X; 191-424-642-484-955,130,true,,green
037-163-533-301-156,CVPR Workshops - Visual Navigation Aid for the Blind in Dynamic Environments,,2014,conference proceedings article,2014 IEEE Conference on Computer Vision and Pattern Recognition Workshops,,IEEE,,Tung-Sing Leung; Gerard Medioni,"We describe a robust method to estimate egomotion in highly dynamic environments. Our application is a head mounted stereo system designed to help the visually impaired navigate. Instead of computing egomotion from 3D point correspondences in consecutive frames, we propose to find the ground plane, then decompose the 6DoF egomotion into the motion of the ground plane, and a planar motion on the ground plane. The ground plane is estimated at each frame by analysis of the disparity array. Next, we estimate the normal to the ground plane. This is done either from the visual data, or from the IMU reading. We evaluate the results on both synthetic and real scenes, and compare the results of the direct, 6 DoF estimate with our plane-based approach, with and without the IMU. We conclude that the egomotion estimation using this new approach produces significantly better results, both in simulation and on real data sets.",,,579,586,Frame (networking); Artificial intelligence; Motion (geometry); Plane (geometry); Point (geometry); Computer vision; Computer science; Visual odometry; Inertial measurement unit; Ground plane,,,,,https://dblp.uni-trier.de/db/conf/cvpr/cvprw2014.html#LeungM14 http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=6910038 http://dx.doi.org/10.1109/CVPRW.2014.89 https://ieeexplore.ieee.org/document/6910038/ https://openaccess.thecvf.com/content_cvpr_workshops_2014/W16/html/Leung_Visual_Navigation_Aid_2014_CVPR_paper.html https://www.cv-foundation.org/openaccess/content_cvpr_workshops_2014/W16/html/Leung_Visual_Navigation_Aid_2014_CVPR_paper.html https://doi.org/10.1109/CVPRW.2014.89 https://dx.doi.org/10.1109/CVPRW.2014.89 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6910038 https://www.cv-foundation.org/openaccess/content_cvpr_workshops_2014/W16/papers/Leung_Visual_Navigation_Aid_2014_CVPR_paper.pdf,http://dx.doi.org/10.1109/cvprw.2014.89,,10.1109/cvprw.2014.89,1969683776,,0,004-511-416-923-897; 005-857-282-882-43X; 007-391-459-034-77X; 008-587-112-913-346; 014-478-034-924-123; 016-160-128-737-997; 023-612-297-764-660; 028-279-887-573-296; 028-282-127-740-669; 028-303-905-295-179; 028-847-878-700-92X; 043-056-567-014-861; 044-925-465-549-740; 049-921-334-736-611; 052-219-096-473-93X; 057-379-894-626-392; 061-199-231-534-098; 107-262-279-999-325; 115-278-034-310-151; 128-907-188-513-761; 144-774-070-048-044; 170-387-846-090-147; 183-177-134-821-382,50,true,,green
037-182-418-585-695,Deep Learning Based Application for Indoor Scene Recognition,2020-03-20,2020,journal article,Neural Processing Letters,13704621; 1573773x,Springer Science and Business Media LLC,Netherlands,Mouna Afif; Riadh Ayachi; Yahia Said; Mohamed Atri,,51,3,2827,2837,Deep learning; Computational intelligence; Artificial intelligence; Key (cryptography); Computer vision; Field (computer science); Computer science; Component (UML); Artificial neural network; Object (computer science); Convolutional neural network,,,,,https://doi.org/10.1007/s11063-020-10231-w https://dblp.uni-trier.de/db/journals/npl/npl51.html#AfifASA20 https://link.springer.com/article/10.1007/s11063-020-10231-w,http://dx.doi.org/10.1007/s11063-020-10231-w,,10.1007/s11063-020-10231-w,3013004221,,0,000-589-329-683-885; 002-491-759-024-334; 002-508-484-172-239; 003-456-545-749-041; 004-269-574-716-057; 004-337-183-941-849; 006-639-160-290-55X; 010-067-991-372-664; 016-456-940-706-916; 020-233-013-143-936; 025-522-385-395-133; 026-363-993-267-742; 033-239-723-330-575; 040-209-930-304-077; 044-396-615-675-996; 045-309-399-228-849; 048-254-076-918-785; 049-317-239-158-314; 049-921-334-736-611; 061-579-383-511-500; 064-657-750-690-046; 069-480-623-909-181; 070-002-546-287-735; 080-922-196-287-325; 115-725-112-822-171; 120-437-599-272-427; 132-618-624-119-87X; 137-638-549-224-812; 140-394-829-785-809; 180-515-374-647-90X,44,false,,
037-378-081-417-550,Artificial intelligence: looking though the Pygmalion Lens,2018-10-13,2018,journal article,AI & SOCIETY,09515666; 14355655,Springer Science and Business Media LLC,Germany,Karamjit S. Gill,,33,4,459,465,Optometry; Sociology; Lens (geology),,,,,https://link.springer.com/article/10.1007/s00146-018-0866-0/fulltext.html https://link.springer.com/article/10.1007/s00146-018-0866-0 https://dblp.uni-trier.de/db/journals/ais/ais33.html#Gill18 https://link.springer.com/content/pdf/10.1007%2Fs00146-018-0866-0.pdf https://doi.org/10.1007/s00146-018-0866-0,http://dx.doi.org/10.1007/s00146-018-0866-0,,10.1007/s00146-018-0866-0,2896504051,,0,003-712-004-091-961; 027-132-581-923-377; 110-264-581-829-228; 147-733-898-004-648,10,true,cc0,hybrid
037-478-972-598-058,ADAGSS: Automatic Dataset Generation for Semantic Segmentation,2020-06-08,2020,conference proceedings,International journal of computer assisted radiology and surgery,18616429; 18616410,Springer Science and Business Media LLC,Germany,L. Palladino; Bogdan Mihai Maris; Paolo Fiorini,,15,Suppl 1,214,214,Deep learning; Artificial intelligence; Pattern recognition; Computer science; Contextual image classification; Segmentation,,,,,https://iris.univr.it/handle/11562/1038621?mode=full.1005,http://dx.doi.org/10.1007/s11548-020-02171-6,32514840,10.1007/s11548-020-02171-6,3167674282,PMC7276970,1,,11,true,implied-oa,green
037-545-584-168-942,Novel indoor navigation system for visually impaired and blind people,,2015,conference proceedings article,2015 International Conference on Applied Research in Computer Science and Engineering (ICAR),,IEEE,,Kabalan Chaccour; Georges Badr,"Visual impairment or vision loss is the main reason for reduced mobility in humans. Visually Impaired (VI) people require continuous assistance during their movement. Researchers and scientists have put many solutions to assist those people in the activities of their daily living (ADL). The current research delivers a novel indoor navigation system for visually impaired people. The proposed solution is designed for indoor use only (house, office, companies, etc.). It provides the visually impaired person the ability to navigate without any other hardware assistance. The proposed system architecture uses a network of IP cameras installed at the ceiling of each room. A remote processing system analyzes-by computer vision algorithms-photos taken from the environment in order to inform the subject about his location and reacts accordingly to deliver the adequate assistance. A guidance algorithm helps him reach his destination using a simple interactive mobile application installed on his smart phone. The proof of concept prototype was designed with one camera on top of a wooden floor model to simulate the system. Results showed good reliability in indoor navigation and obstacles avoidance.",,,1,5,Proof of concept; Engineering; Reliability (computer networking); Mobile robot navigation; SIMPLE (military communications protocol); Ceiling (cloud); Navigation system; Visual impairment; Multimedia; Systems architecture,,,,,http://ieeexplore.ieee.org/document/7338143/ https://ieeexplore.ieee.org/document/7338143/,http://dx.doi.org/10.1109/arcse.2015.7338143,,10.1109/arcse.2015.7338143,2178444645,,1,000-631-028-807-828; 001-076-828-128-846; 013-056-435-015-274; 013-551-333-215-556; 013-678-295-106-102; 013-847-555-426-159; 014-157-934-526-940; 015-998-086-943-276; 022-697-627-694-941; 030-127-369-356-741; 031-799-548-880-483; 034-350-308-512-672; 064-309-126-323-022; 066-374-042-552-286; 066-526-177-885-125; 098-811-589-762-176,10,false,,
037-808-561-986-047,Orientation technology for indoor travel by persons with multiple disabilities.,2009-08-20,2009,journal article,Cognitive processing,16124790; 16124782,Springer Science and Business Media LLC,Germany,Giulio E. Lancioni; Mark F. O’Reilly; Nirbhay N. Singh; Jeff Sigafoos; Doretta Oliva,,10,2,244,246,Psychology; Cognitive psychology; Corrective feedback; Orientation (mental); Multiple disabilities; Intellectual disability; Behavioural sciences,,Cues; Disabled Persons; Feedback; Humans; Movement/physiology; Orientation/physiology; Space Perception/physiology; User-Computer Interface,,,http://www.ncbi.nlm.nih.gov/pubmed/19693578 https://link.springer.com/article/10.1007%2Fs10339-009-0293-8 https://europepmc.org/article/MED/19693578 https://core.ac.uk/display/54146627,http://dx.doi.org/10.1007/s10339-009-0293-8,19693578,10.1007/s10339-009-0293-8,2031678472,,0,003-573-584-084-065; 004-486-421-176-513; 015-682-230-414-125; 018-438-138-864-259; 023-224-288-961-254; 027-948-422-229-187; 032-074-682-006-824; 096-495-338-140-79X; 108-804-858-522-070; 115-165-824-255-336; 118-150-218-037-598; 120-896-719-918-943,3,false,,
037-941-949-319-200,Positioning of logistics and warehousing automated guided vehicle based on improved LSTM network,2021-08-27,2021,journal article,International Journal of System Assurance Engineering and Management,09756809; 09764348,Springer Science and Business Media LLC,India,Tingting Yan,,14,2,509,518,,,,,,,http://dx.doi.org/10.1007/s13198-021-01243-3,,10.1007/s13198-021-01243-3,,,0,001-393-303-556-548; 003-918-784-729-834; 006-567-689-415-244; 023-593-592-900-943; 024-155-742-936-930; 030-852-649-696-750; 033-554-759-481-789; 038-157-514-257-749; 038-680-731-564-573; 055-489-677-669-294; 061-568-408-045-208; 086-859-570-530-698; 090-233-411-784-463; 092-662-153-967-352; 119-401-758-081-717; 132-221-510-583-687; 135-266-700-824-830; 140-700-368-294-646; 154-214-770-809-26X,8,false,,
