"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Nano-, Bio-, Info-Tech Sensors, and Wearable Systems 2023","2023","Proceedings of SPIE - The International Society for Optical Engineering","12485","","","","","97","0","","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85160252680&partnerID=40&md5=e66ecf85df7467f599bdad88f6cee724","","","The proceedings contain 14 papers. The topics discussed include: stretchable piezoelectric polymer blend for dynamic stress and strain sensing; a multiplayer virtual reality platform to evaluate electronic travel aid performance for persons with blindness and low vision; cochlea-inspired sound visualization method; high accurate and efficient electrical impedance tomography for fast brain imaging; a cost-effective, accessible reduced graphene oxide (rGO) multifunctional wearable sensor via transfer printing; aramid nanofibers-based multidimensional structure; strong, functional and hydro-stable straws for plastic replacement; object classification robot hand system using thermal conductivity; skin-printable and self-adhesive hydrogel electrodes for functional electrical stimulation therapy; hybrid piezoelectric-magnetic, self-sensing actuator for vibration damping; and developing a novel electro-optic scanner for potential micro display and head-mounted display application.","","","","Kim J.; Oh I.; Porfiri M.; Yoon H.","SPIE","0277786X","978-151066077-9","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference review","Final","","Scopus","2-s2.0-85160252680"
"Deepa J.; Maria Adeline P.; Madhumita S.S.S.; Pavalaselvi N.","Deepa, J. (56622944900); Maria Adeline, P. (58264994100); Madhumita, Sai S. S. (58965208600); Pavalaselvi, N. (58264994200)","56622944900; 58264994100; 58965208600; 58264994200","Obstacle Detection and Navigation for The Visually Impaired","2023","2023 9th International Conference on Advanced Computing and Communication Systems, ICACCS 2023","","","","905","909","4","1","10.1109/ICACCS57279.2023.10112994","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85159760302&doi=10.1109%2fICACCS57279.2023.10112994&partnerID=40&md5=6a5ad4cea724f7bcc4aad9960f16d959","Easwari Engineering College, Computer Science and Engineering, Chennai, India","Deepa J., Easwari Engineering College, Computer Science and Engineering, Chennai, India; Maria Adeline P., Easwari Engineering College, Computer Science and Engineering, Chennai, India; Madhumita S.S.S., Easwari Engineering College, Computer Science and Engineering, Chennai, India; Pavalaselvi N., Easwari Engineering College, Computer Science and Engineering, Chennai, India","Because restrictiveness poses a serious problem for those who are visually impaired, independent living is becoming more and more crucial today. People who are visually impaired have difficulties because they require manual aid to learn about their surroundings. People with visual impairments find it difficult to carry out most of their everyday activities, such as eating, taking a walk, conversing with others, etc., because visual information provides the foundation for many actions. Thanks to technological breakthroughs, it is now possible to assist those who are blind or visually impaired. This study may be a survey of a device that helps the blind by using sensors and voice commands. Finding the distance, we wish to measure is difficult these days. In any event, the tape is a straightforward option, but this type of technology is only susceptible to human error. A rangefinder module had already been created by engineers. The module has a lot of problems, including a distance limit and varying outcomes with different colored barriers, which means we must constantly measure it before using it, they ultimately found. Distances are frequently measured with human inaccuracy. This project's main goal is to precisely calculate the minimum width's distance. This project uses ultrasonic sensors to measure distance measurement. The transferors will reply if you talk. The project value determines the precise distance from any obstacle we want to measure. The device can be used for a variety of purposes, such as robotics, car sensors for avoiding obstructions, and distance estimates in construction camps. The process of creating the gadget was based on as many uses as feasible from university courses, including lab equipment and programs for Microprocessor, Basic Electrical Engineering, Multimedia, and Electronics. The results show that the proposed device offers visually impaired people with higher accessibility, comfort, and simplicity of navigation when compared to the white cane. By using voice commands, this recently developed application can lead the blind. © 2023 IEEE.","Arduino; Arduino Uno; Distance Measurement; IoT; Obstacle Detection; Power Supply; Ultrasonic Sensors; Voice Commands","Distance measurement; Electric power systems; Multimedia systems; Obstacle detectors; Robots; Ultrasonic sensors; Arduino; Arduino uno; Independent living; IoT; Learn+; Obstacles detection; Power supply; Visual impairment; Visually impaired; Voice command; Ultrasonic applications","J. Deepa; Easwari Engineering College, Computer Science and Engineering, Chennai, India; email: deepa.j@eec.srmrmp.edu.in","","Institute of Electrical and Electronics Engineers Inc.","","979-835039737-6","","","English","Int. Conf. Adv. Comput. Commun. Syst., ICACCS","Conference paper","Final","","Scopus","2-s2.0-85159760302"
"Mohamed E.; Sirlantzis K.; Howells G.","Mohamed, Elhassan (57211158506); Sirlantzis, Konstantinos (9239813700); Howells, Gareth (35565062100)","57211158506; 9239813700; 35565062100","Real-time Powered Wheelchair Assistive Navigation System Based on Intelligent Semantic Segmentation for Visually Impaired Users","2022","5th IEEE International Image Processing, Applications and Systems Conference, IPAS 2022","","","","","","","1","10.1109/IPAS55744.2022.10053051","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85149793066&doi=10.1109%2fIPAS55744.2022.10053051&partnerID=40&md5=c436c8fde9fbec0e8141d68c9e66b929","School of Engineering, University of Kent, Canterbury, Kent, United Kingdom; School of Computing, University of Kent, Canterbury, Kent, United Kingdom","Mohamed E., School of Engineering, University of Kent, Canterbury, Kent, United Kingdom; Sirlantzis K., School of Engineering, University of Kent, Canterbury, Kent, United Kingdom; Howells G., School of Computing, University of Kent, Canterbury, Kent, United Kingdom","People with movement disabilities may find powered wheelchair driving a challenging task due to their comorbidities. Certain visually impaired persons with mobility disabilities are not prescribed a powered wheelchair because of their sight condition. However, powered wheelchairs are essential to the majority of these disabled users for commuting and social interaction. It is vital for their independence and wellbeing. In this paper, we propose to use a semantic segmentation (SS) system based on deep learning algorithms to provide environmental cues and information to visually impaired wheelchair users to aid with the navigation process. The system classifies the objects of the indoor environment and presents the annotated output on a display customised to the user's condition. The user can select a target object, for which the system can display the estimated distance from the current position of the wheelchair. The system runs in real-time, using a depth camera installed on the wheelchair, and it displays the scene in front of the wheelchair with every pixel annotated with distinguishable colour to represent the different components of the environment along with the distance to the target object. Our system has been designed, implemented and deployed on a real powered wheelchair for practical evaluation. The proposed system helped the users to estimate more accurately the distance to the target objects with a relative error of 19.8% and 18.4% for the conditions of a) semi-neglect and b) short-sightedness, respectively, compared to errors of 47.8% and 5.6% without the SS system. In our experiments, healthy participants were put in simulated conditions representing the above visual impairments using instruments commonly used in medical research for this purpose. Finally, our system helps to visualise, on the display, hidden areas of the environment and blind spots that visually impaired users would not be able to see without it. © 2022 IEEE.","Convolutional neural networks; Practical implementation; Semantic segmentation systems; Visually impaired disabled users","Convolutional neural networks; Deep learning; Navigation systems; Real time systems; Semantic Web; Semantics; Wheelchairs; Condition; Convolutional neural network; Powered wheelchair; Practical implementation; Segmentation system; Semantic segmentation; Semantic segmentation system; Target object; Visually impaired; Visually impaired disabled user; Semantic Segmentation","","","Institute of Electrical and Electronics Engineers Inc.","","978-166546219-8","","","English","IEEE Int. Image Process., Appl. Syst. Conf., IPAS","Conference paper","Final","","Scopus","2-s2.0-85149793066"
"Huang C.; Wang J.; Ma J.","Huang, Chenggang (57956314400); Wang, Jing (58577097700); Ma, Jianwei (57219147530)","57956314400; 58577097700; 57219147530","Design exploration of a tactile path defect detection vehicle","2023","Proceedings of SPIE - The International Society for Optical Engineering","12754","","127541O","","","","0","10.1117/12.2684219","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85171270653&doi=10.1117%2f12.2684219&partnerID=40&md5=734c19bdbdb41a106ad3249693124d57","Qingdao University, 308 Ningxia Road, Laoshan District, Shandong, Qingdao City, China","Huang C., Qingdao University, 308 Ningxia Road, Laoshan District, Shandong, Qingdao City, China; Wang J., Qingdao University, 308 Ningxia Road, Laoshan District, Shandong, Qingdao City, China; Ma J., Qingdao University, 308 Ningxia Road, Laoshan District, Shandong, Qingdao City, China","In order to solve the problems of poor paving effect of the existing tactile path, late maintenance is not timely, resulting in inconvenient travel for the blind, the shortcomings of the existing tactile path management are analyzed, so as to guide the design. In the design process, a defect detection method based on the YOLO-V5 target detection algorithm was adopted to realize the processing of tactile path samples, training model and classification of tactile path defect types, and a complete set of tactile path defect detection equipment was designed. This equipment can detect the tactile path in real time, judge and classify the defects of the tactile path, find out the problematic tactile path and send the geographical location information back to the background staff to assist the municipal administration department and the tactile path rectification construction unit to grasp the overall construction situation of the tactile path. Compared with the existing artificial tactile path defect detection methods, the proposed tactile path defect detection method based on OLO-V5 has better recognition performance and higher detection efficiency, and can accurately detect and identify various tactile path defects. At the same time, this study focuses on the safety of travel for the visually impaired, which helps to improve the equal rights of the visually impaired to participate in social activities and enjoy public resources, and helps to optimize barrier-free facilities, which plays a crucial role in the harmonious and orderly development of the society. © 2023 SPIE.","defect detecting; tactile path; YOLO-V5","Classification (of information); Construction equipment; Design; Defect detecting; Defect detection; Defect detection method; Design Exploration; Design-process; Management IS; Path management; Tactile path; Visually impaired; YOLO-v5; Defects","J. Ma; Qingdao University, Qingdao City, 308 Ningxia Road, Laoshan District, Shandong, China; email: h610667827@gmail.com","Shen L.; Zhong G.","SPIE","0277786X","978-151066756-3","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-85171270653"
"Dasu S.; Ranade M.M.; Sarkar S.; Anala M.R.","Dasu, Shravya (58093838400); Ranade, Manali M. (58093875000); Sarkar, Shravasti (57704846500); Anala, M.R. (55734811700)","58093838400; 58093875000; 57704846500; 55734811700","Computer Vision based Tools and Technologies for Navigational Assistance for the Visually Impaired","2022","Proceedings - International Conference on Augmented Intelligence and Sustainable Systems, ICAISS 2022","","","","802","808","6","0","10.1109/ICAISS55157.2022.10010946","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85147551867&doi=10.1109%2fICAISS55157.2022.10010946&partnerID=40&md5=9086f2f3e4d56145773353c033bd3878","RV College of Engineering, Department of Computer Science and Engineering, Bengaluru, India; Department of Information Science and Engineering, RV College of Engineering, Bengaluru, India","Dasu S., RV College of Engineering, Department of Computer Science and Engineering, Bengaluru, India; Ranade M.M., RV College of Engineering, Department of Computer Science and Engineering, Bengaluru, India; Sarkar S., RV College of Engineering, Department of Computer Science and Engineering, Bengaluru, India; Anala M.R., Department of Information Science and Engineering, RV College of Engineering, Bengaluru, India","One of the most pressing challenges concerning visual impairment is navigation in complex real-life environments. Blind people often use guide dogs which are expensive, canes, or other people to find their way around. Over the years, various tools have been developed to make the process of way-finding easier for the visually impaired, based on numerous technologies, including computer vision, SLAM algorithms and embedded systems. In the following paper, a number of the most effective tools and their corresponding mechanisms are discussed. These have been divided into software and hardware-oriented tools to provide the reader with better clarity. Furthermore, an analysis of the effectiveness of these alternative methods has been done, along with possible solutions to any shortcomings posed by these tools. The review concludes with a discussion about the different aspects to keep in mind while building navigational tools to assist the visually impaired.  © 2022 IEEE.","Computer Vision; Embedded Systems; Image Segmentation; Navigation; Visual Impairment; Wearable Technology","Computer vision; Embedded systems; Image segmentation; Ophthalmology; Vision; Wearable technology; Blind people; Embedded-system; Guide dogs; Images segmentations; Pressung; Tools and technologies; Vision based; Visual impairment; Visually impaired; Way finding; Navigation","","","Institute of Electrical and Electronics Engineers Inc.","","978-166548962-1","","","English","Proc. - Int. Conf. Augment. Intell. Sustain. Syst., ICAISS","Conference paper","Final","","Scopus","2-s2.0-85147551867"
"Bolla D.R.; Trisheela S.; Nagarathana P.; Sarojadevi H.","Bolla, Dileep Reddy (57193058845); Trisheela, S. (58038901900); Nagarathana, P. (57189247231); Sarojadevi, H. (56126209900)","57193058845; 58038901900; 57189247231; 56126209900","Object Detection in Computer Vision Using Machine Learning Algorithm For Visually Impaired People","2022","MysuruCon 2022 - 2022 IEEE 2nd Mysore Sub Section International Conference","","","","","","","2","10.1109/MysuruCon55714.2022.9972494","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85145356151&doi=10.1109%2fMysuruCon55714.2022.9972494&partnerID=40&md5=2b14033abaed1f28a27354d819f6aab5","Nitte Meenakshi Institute of Technology, Department of Computer Science and Engineering, Bengaluru, India","Bolla D.R., Nitte Meenakshi Institute of Technology, Department of Computer Science and Engineering, Bengaluru, India; Trisheela S., Nitte Meenakshi Institute of Technology, Department of Computer Science and Engineering, Bengaluru, India; Nagarathana P., Nitte Meenakshi Institute of Technology, Department of Computer Science and Engineering, Bengaluru, India; Sarojadevi H., Nitte Meenakshi Institute of Technology, Department of Computer Science and Engineering, Bengaluru, India","Traditionally, blind individuals go to their destinations with a white cane or a guide dog. They were unable to quickly recognize their surroundings, though. Consequently, The development of a navigation system for visually impaired people in an interior environment is the topic of this study. In order to provide an efficient and user-friendly navigation tool, passive radio frequency identification (RFID) transponders are mounted on the floor, such as on tactile pavement, to establish such RFID networks. the navigational system created includes a digital compass to help persons who are blind or visually handicapped walk correctly and in the right direction, especially while turning. This system makes use of the ideas of localization and placement using a digital compass as well as vocal prompts for directions. Others looked into how to get blind people back onto the right path when they go off course and calibrate the digital compass for accuracy. Additionally, in order to determine the practicality of the developed navigation system, a comparison between two subjects - a mobile robot and a human - is done. The results of the experiment show that a mobile robot and a human move at different speeds. People who are blind or visually impaired will benefit from this project since the voice-activated navigation system will improve their travel experience and make it safer and more comfortable. © 2022 IEEE.","Machine learning; object detection; visually impaired","Learning algorithms; Machine learning; Mobile robots; Navigation systems; Object recognition; Radio frequency identification (RFID); Radio navigation; Robot vision; Blind individuals; Digital compass; Guide dogs; Interior environments; Machine learning algorithms; Machine-learning; Objects detection; Visually impaired; Visually impaired people; White cane; Object detection","","","Institute of Electrical and Electronics Engineers Inc.","","978-166549790-9","","","English","MysuruCon - IEEE Mysore Sub Sect. Int. Conf.","Conference paper","Final","","Scopus","2-s2.0-85145356151"
"Afif M.; Ayachi R.; Said Y.; Pissaloux E.; Atri M.","Afif, Mouna (57194068439); Ayachi, Riadh (57210106980); Said, Yahia (53867137900); Pissaloux, Edwige (7003850978); Atri, Mohamed (23017853700)","57194068439; 57210106980; 53867137900; 7003850978; 23017853700","An efficient object detection system for indoor assistance navigation using deep learning techniques","2022","Multimedia Tools and Applications","81","12","","16601","16618","17","8","10.1007/s11042-022-12577-w","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85125596639&doi=10.1007%2fs11042-022-12577-w&partnerID=40&md5=2425e3d66c7358e3bc9464bdf50c12b1","Laboratory of Electronics and Microelectronics (EμE), Faculty of Sciences of Monastir, University of Monastir, Monastir, Tunisia; Electrical Engineering Department, College of Engineering, Northern Border University, Arar, Saudi Arabia; LITIS Laboratory & CNRS FR 3638 University of Rouen Normandy, Rouen, France; College of Computer Science, King Khalid University, Abha, Saudi Arabia","Afif M., Laboratory of Electronics and Microelectronics (EμE), Faculty of Sciences of Monastir, University of Monastir, Monastir, Tunisia; Ayachi R., Laboratory of Electronics and Microelectronics (EμE), Faculty of Sciences of Monastir, University of Monastir, Monastir, Tunisia; Said Y., Electrical Engineering Department, College of Engineering, Northern Border University, Arar, Saudi Arabia; Pissaloux E., LITIS Laboratory & CNRS FR 3638 University of Rouen Normandy, Rouen, France; Atri M., College of Computer Science, King Khalid University, Abha, Saudi Arabia","Building new systems used for indoor objects detection and indoor assistance navigation presents a very crucial task especially in artificial intelligence and computer science fields. The number of blind and visually impaired persons (VIP) is increasing day by day. In order to help this category of persons, we propose to develop a new indoor object-detection system based on deep convolutional neural networks (DCNNs). The proposed system is developed based on the one-stage neural network RetinaNet. In order to train and evaluate the developed system, we propose to build a new indoor objects dataset which also presents 11,000 images containing 24 indoor landmark objects highly valuable for indoor assistance navigation. The proposed dataset provides a high intra and inter-class variation and various challenging conditions which aim to build a robust detection system for blind and visually impaired people (VIP) mobility. Experimental results prove the high detection performances of the developed indoor objects detection and recognition system. We obtained a detection accuracy reaching up to 98.75% mAP and 62 FPS as a detection speed. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Blind and visually impaired persons; Deep convolutional neural networks (DCNN); Deep learning; Indoor navigation; Indoor object detection","Convolution; Convolutional neural networks; Deep neural networks; Indoor positioning systems; Navigation; Object detection; Blind and visually impaired; Blind and visually impaired person; Deep convolutional neural network; Deep learning; Efficient object detections; Indoor navigation; Indoor object detection; Learning techniques; Object detection systems; Visually impaired persons; Object recognition","M. Afif; Laboratory of Electronics and Microelectronics (EμE), Faculty of Sciences of Monastir, University of Monastir, Monastir, Tunisia; email: mouna.afif@outlook.fr","","Springer","13807501","","MTAPF","","English","Multimedia Tools Appl","Article","Final","","Scopus","2-s2.0-85125596639"
"Bhatlawande S.; Gokhale N.; Mehta D.V.; Gaikwad P.; Shilaskar S.; Madake J.","Bhatlawande, Shripad (55212307900); Gokhale, Neel (58075266600); Mehta, Dewang V. (58074477000); Gaikwad, Parag (58073948600); Shilaskar, Swati (57189017229); Madake, Jyoti (57222127908)","55212307900; 58075266600; 58074477000; 58073948600; 57189017229; 57222127908","Electronic Travel Aid for Crosswalk Detection for Visually Challenged People","2023","Lecture Notes in Electrical Engineering","959","","","249","259","10","0","10.1007/978-981-19-6581-4_20","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85146682600&doi=10.1007%2f978-981-19-6581-4_20&partnerID=40&md5=b6b6ac3efcfe4c2fcbc43a48c79decaf","Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India","Bhatlawande S., Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India; Gokhale N., Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India; Mehta D.V., Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India; Gaikwad P., Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India; Shilaskar S., Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India; Madake J., Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India","Vision is one of the most important sensory systems. It helps us to sense and gauge the surroundings around us. It also helps us to see colors as well as to assess any dangers in our path. Therefore, the proposed system is aimed to aid people who are visually impaired or blind. These people face the most difficulties when they are commuting alone. Independent movement in an unknown environment is strenuous for these people. They need to be always accompanied by someone, especially when crossing roads. The proposed system can be used when crossing the roads to detect a zebra crossing. Although there are a few solutions available today, those are not easy to use. Achieving ease of use with a cheaper cost is the author’s aim in building this system. Computer vision and machine learning models have been used to find a solution to this problem. The authors have prepared a dataset of 5510 images. The system uses SIFT descriptors for feature extraction. K-means and PCA for dimensionality reduction are used. Five ML classifiers are trained, and the performance is assessed. The highest accuracy was achieved by the Random Forest Classifier, which was 89%. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Computer vision; Crosswalk detection; Machine learning; PCA; Python; Random forest classifier; SIFT descriptors; Visually challenged","Classification (of information); Computer vision; Crosswalks; E-learning; K-means clustering; Machine learning; Crosswalk detection; Electronic travel aidss; Machine-learning; PCA; Random forest classifier; Sensory system; SIFT descriptors; Unknown environments; Visually challenged; Visually impaired; Python","S. Bhatlawande; Electronics and Telecommunication Engineering Department, Vishwakarma Institute of Technology, Pune, 411037, India; email: shripad.bhatlawande@vit.edu","Kulkarni A.J.; Mirjalili S.; Udgata S.K.","Springer Science and Business Media Deutschland GmbH","18761100","978-981196580-7","","","English","Lect. Notes Electr. Eng.","Conference paper","Final","","Scopus","2-s2.0-85146682600"
"Rajeswari R.P.; Aradhana B.","Rajeswari, R.P. (57208898915); Aradhana, B. (58102639600)","57208898915; 58102639600","Character Recognition in Scene Images Using MSER and CNN","2022","Communications in Computer and Information Science","1697 CCIS","","","99","107","8","0","10.1007/978-3-031-22405-8_8","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85148001368&doi=10.1007%2f978-3-031-22405-8_8&partnerID=40&md5=b015dbacb837e0fc65cbe4d48ef497be","Rao Bahadur Y Mahabaleswarappa Engineering College, Karnataka, Ballari, 583104, India; Ballari Institute of Technology and Management, Karnataka, Ballari, 583104, India","Rajeswari R.P., Rao Bahadur Y Mahabaleswarappa Engineering College, Karnataka, Ballari, 583104, India; Aradhana B., Ballari Institute of Technology and Management, Karnataka, Ballari, 583104, India","Text detection in Scene images has procured significance in recent decade. Due to its diversified applications in blind navigation assistance for Visually impaired, traffic monitoring, Automatic driving assistance systems etc., Text detection has stimulated new research avenues in area of computer vision Text detection is a trivial task because of varying color, font face and size, orientation of text against complex background. A diversity of deep learning techniques are introduced by researchers for graphical text detection in images. The article proposed method consisting of 3 stages. First, we use Otsu’s method for text separation from background. Secondly Text ROI’s are extracted using Maximally stable Ensemble method (MSER). Finally, each extracted text ROI is classified using ConvNets. CNN classifier have been trained to recognize Scene Text Characters. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Classification; CNN; MSER; Text detection","Automobile drivers; Deep learning; Image classification; Learning systems; Text processing; Automatic driving; Blind navigation; Complex background; Driving assistance systems; Learning techniques; MSER; Navigation assistance for visually impaired; Scene image; Text detection; Traffic monitoring; Character recognition","R.P. Rajeswari; Rao Bahadur Y Mahabaleswarappa Engineering College, Ballari, Karnataka, 583104, India; email: rajeswarirp@rymec.in","Guru D.S.; Y. H. S.K.; K. B.; Agrawal R.K.; Ichino M.","Springer Science and Business Media Deutschland GmbH","18650929","978-303122404-1","","","English","Commun. Comput. Info. Sci.","Conference paper","Final","","Scopus","2-s2.0-85148001368"
"Mendis G.L.M.M.; Deshan W.M.Y.; Bandara H.M.G.M.; Gunethilake K.C.; Wijendra D.; Krishara J.","Mendis, G.L.M.M. (58560734200); Deshan, W.M.Y. (58559625800); Bandara, H.M.G.M. (58560422100); Gunethilake, K.C. (58560734300); Wijendra, Dinuka (57193736232); Krishara, Jenny (57353919200)","58560734200; 58559625800; 58560422100; 58560734300; 57193736232; 57353919200","Look AI - An Intelligent System for Socialization of Visually Impaired","2023","2023 6th International Conference on Artificial Intelligence and Big Data, ICAIBD 2023","","","","351","356","5","0","10.1109/ICAIBD57115.2023.10206191","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85169610523&doi=10.1109%2fICAIBD57115.2023.10206191&partnerID=40&md5=52494cad7d4bc6fcfa45442b96261933","Sri Lanka Institute of Information Technology, Department of Software Engineering, Colombo, Sri Lanka; Sri Lanka Institute of Information Technology, Department of Information Technology, Colombo, Sri Lanka","Mendis G.L.M.M., Sri Lanka Institute of Information Technology, Department of Software Engineering, Colombo, Sri Lanka; Deshan W.M.Y., Sri Lanka Institute of Information Technology, Department of Software Engineering, Colombo, Sri Lanka; Bandara H.M.G.M., Sri Lanka Institute of Information Technology, Department of Information Technology, Colombo, Sri Lanka; Gunethilake K.C., Sri Lanka Institute of Information Technology, Department of Information Technology, Colombo, Sri Lanka; Wijendra D., Sri Lanka Institute of Information Technology, Department of Information Technology, Colombo, Sri Lanka; Krishara J., Sri Lanka Institute of Information Technology, Department of Information Technology, Colombo, Sri Lanka","It has found that 30% of the people among the visually impaired people are having a significant number of depressive symptoms whereas, the prevalence of depression in blind people was reported to be 33%, or nearly double the rate of the general population. Therefore, social activities among visually impaired people should increase. This research paper provides a unique system for assisting visually impaired individuals in navigating indoor environments heavily relies on the use of artificial intelligence, particularly deep learning and computer vision techniques. By leveraging these advanced technologies, the system can analyze and process large amounts of visual data in real-time, accurately identifying and locating various objects in the environment, including faces, doors, stairs, cross walks, traffic lights, potholes and other obstacles. The system then provides real-time feedback to the user via an audio interface, enabling them to navigate indoor and outdoor environments safely and independently. The use of artificial intelligence in this system is particularly significant, as it enables the system to adapt and improve over time based on user feedback and additional data. That means, the system can continuously improve its performance and accuracy, ultimately resulting in a more effective and reliable tool for visually impaired individuals. The authors have also evaluated the system in a real-world setting, demonstrating its effectiveness in assisting visually impaired individuals with indoor navigation. Overall, the proposed system has the potential to significantly enhance the quality of life for visually impaired individuals, showcasing the transformative power of artificial intelligence in addressing real-world challenges. © 2023 IEEE.","artificial intelligence; convolutional neural networks; machine learning; recurrent neural network","Convolutional neural networks; Intelligent systems; Learning systems; Blind people; Convolutional neural network; Depressive symptom; General population; Indoor environment; Machine-learning; Research papers; Social activities; Visually impaired; Visually impaired people; Recurrent neural networks","G.L.M.M. Mendis; Sri Lanka Institute of Information Technology, Department of Software Engineering, Colombo, Sri Lanka; email: it19986654@my.sliit.lk","","Institute of Electrical and Electronics Engineers Inc.","","978-166549125-9","","","English","Int. Conf. Artif. Intell. Big Data, ICAIBD","Conference paper","Final","","Scopus","2-s2.0-85169610523"
"Shidore M.; Kakurle S.; Shetkar M.; Kapshe M.; Kamble A.","Shidore, Mrunal (57218177745); Kakurle, Sahil (58783927100); Shetkar, Manish (58783321000); Kapshe, Malhar (58783927200); Kamble, Abhijeet (58784082100)","57218177745; 58783927100; 58783321000; 58783927200; 58784082100","Eye for Blind: A Deep Learning-Based Sensory Navigation System for the Blind","2023","Lecture Notes in Networks and Systems","782 LNNS","","","229","240","11","0","10.1007/978-981-99-6568-7_21","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85180745411&doi=10.1007%2f978-981-99-6568-7_21&partnerID=40&md5=4522415eab8d43a217bb1cea7bd81e91","Vishwakarma Institute of Technology, Bibwewadi, Pune, India","Shidore M., Vishwakarma Institute of Technology, Bibwewadi, Pune, India; Kakurle S., Vishwakarma Institute of Technology, Bibwewadi, Pune, India; Shetkar M., Vishwakarma Institute of Technology, Bibwewadi, Pune, India; Kapshe M., Vishwakarma Institute of Technology, Bibwewadi, Pune, India; Kamble A., Vishwakarma Institute of Technology, Bibwewadi, Pune, India","The research proposes a new system to assist visually impaired individuals in navigating their surroundings by introducing an “Eye for Blind” system that employs Convolutional Neural Networks (CNN). Our approach utilizes a CNN model to recognize images and generates audio feedback with descriptive labels. This innovative system has the potential to help visually impaired individuals detect and recognize photos, enhancing their independence and quality of life. We evaluated our proposed system using publicly available datasets, and the outcomes suggest that our approach has a high level of accuracy in recognizing social media posts, demonstrating its potential as a solution for the visually impaired community. By using the Eye for Blind system, visually impaired individuals will be able to navigate their surroundings more effectively and efficiently, eliminating their dependence on assistance from others. This technology has enormous potential to improve the quality of life for visually impaired individuals and can contribute to the development of other similar systems that can enhance their independence and mobility. In conclusion, our proposed system has significant potential to make a positive impact on the lives of visually impaired individuals, and we hope that it can be further developed and implemented in the future. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","CNN; LSTM; Neural network; Object","Convolutional neural networks; Image enhancement; Long short-term memory; Neural network models; Audio feedbacks; Convolutional neural network; Innovative systems; LSTM; Neural network model; Neural-networks; Object; Quality of life; Systems for the blinds; Visually impaired; Navigation systems","M. Shidore; Vishwakarma Institute of Technology, Pune, Bibwewadi, India; email: mrunal.shidore@vit.edu","Fong S.; Dey N.; Joshi A.","Springer Science and Business Media Deutschland GmbH","23673370","978-981996567-0","","","English","Lect. Notes Networks Syst.","Conference paper","Final","","Scopus","2-s2.0-85180745411"
